КБК	Налог
18210202101085000160	ФОМС
18210202101085010160	ФОМС
18210202103081011160	ФОМС
18210202103081013160	ФОМС
18210202103082011160	ФОМС
18210202103082013160	ФОМС
18210202103082211160	ФОМС
18210202103082213160	ФОМС
18210202103083011160	ФОМС
18210202103083013160	ФОМС
18210202103084000160	ФОМС
18210202103085000160	ФОМС
18210202103085010160	ФОМС
18210202110061000160	ПФР
18210202110062100160	ПФР
18210202110062200160	ПФР
18210202110063000160	ПФР
18210202110064000160	ПФР
18210202110065000160	ПФР
18210202140061100160	ПФР
18210202140061110160	ПФР
18210202140062100160	ПФР
18210202140062110160	ПФР
18210202140062200160	ПФР
18210202140062210160	ПФР
18210202140063000160	ПФР
18210202140063010160	ПФР
18210202140064000160	ПФР
18210202140065000160	ПФР
18210202140065010160	ПФР
18210202150061000160	ПФР
18210202150062100160	ПФР
18210202150062200160	ПФР
18210202150063000160	ПФР
18210202150064000160	ПФР
18210202150065000160	ПФР
18210301000011000110	НДС
18210301000012100110	НДС
18210301000012200110	НДС
18210301000013000110	НДС
18210301000014000110	НДС
18210301000015000110	НДС
18210401000011000110	НДС
18210401000012100110	НДС
18210401000012200110	НДС
18210401000013000110	НДС
18210401000014000110	НДС
18210401000015000110	НДС
18210501011011000110	УСН
18210501011012100110	УСН
18210501011012200110	УСН
18210501011013000110	УСН
18210501011014000110	УСН
18210501011015000110	УСН
18210501012011000110	УСН
18210501012012100110	УСН
18210501012012200110	УСН
18210501012013000110	УСН
18210501012014000110	УСН
18210501012015000110	УСН
18210501021011000110	УСН
18210501021012100110	УСН
18210501021012200110	УСН
18210501021013000110	УСН
18210501021014000110	УСН
18210501021015000110	УСН
18210501022011000110	УСН
18210501022012100110	УСН
18210501022012200110	УСН
18210501022013000110	УСН
18210501022014000110	УСН
18210501022015000110	УСН
18210503010011000110	ЕСХН
18210503010012100110	ЕСХН
18210503010012200110	ЕСХН
18210503010013000110	ЕСХН
18210503010014000110	ЕСХН
18210503010015000110	ЕСХН
18210503020011000110	ЕСХН
18210503020012100110	ЕСХН
18210503020012200110	ЕСХН
18210503020013000110	ЕСХН
18210503020014000110	ЕСХН
18210503020015000110	ЕСХН
18210505010021000110	Торговый сбор
18210505010022100110	Торговый сбор
18210505010022200110	Торговый сбор
18210505010023000110	Торговый сбор
18210505010024000110	Торговый сбор
18210505010025000110	Торговый сбор
18210506000011000110	НПД
18210506000012100110	НПД
18210506000014000110	НПД
18210506000015000110	НПД
18210606031031000110	Земельный
18210606031032100110	Земельный
18210606031032200110	Земельный
18210606031033000110	Земельный
18210606031034000110	Земельный
18210606031035000110	Земельный
18210606032041000110	Земельный
18210606032042100110	Земельный
18210606032042200110	Земельный
18210606032043000110	Земельный
18210606032044000110	Земельный
18210606032045000110	Земельный
18210606032111000110	Земельный
18210606032112100110	Земельный
18210606032112200110	Земельный
18210606032113000110	Земельный
18210606032114000110	Земельный
18210606032115000110	Земельный
18210606032121000110	Земельный
18210606032122100110	Земельный
18210606032122200110	Земельный
18210606032123000110	Земельный
18210606032124000110	Земельный
18210606032125000110	Земельный
18210606032141000110	Земельный
18210606032142100110	Земельный
18210606032142200110	Земельный
18210606032143000110	Земельный
18210606032144000110	Земельный
18210606032145000110	Земельный
18210606033051000110	Земельный
18210606033052100110	Земельный
18210606033052200110	Земельный
18210606033053000110	Земельный
18210606033054000110	Земельный
18210606033055000110	Земельный
18210606033101000110	Земельный
18210606033102100110	Земельный
18210606033102200110	Земельный
18210606033103000110	Земельный
18210606033104000110	Земельный
18210606033105000110	Земельный
18210606033131000110	Земельный
18210606033132100110	Земельный
18210606033132200110	Земельный
18210606033133000110	Земельный
18210606033134000110	Земельный
18210606033135000110	Земельный
18210606041031000110	Земельный
18210606041032100110	Земельный
18210606041032200110	Земельный
18210606041033000110	Земельный
18210606041034000110	Земельный
18210606041035000110	Земельный
18210606042041000110	Земельный
18210606042042100110	Земельный
18210606042042200110	Земельный
18210606042043000110	Земельный
18210606042044000110	Земельный
18210606042045000110	Земельный
18210606042111000110	Земельный
18210606042112100110	Земельный
18210606042112200110	Земельный
18210606042113000110	Земельный
